current_url,proposed_canonical_url,redirect_target,reason,links_in_current,links_in_target,words_current,words_target
/en/services/business-msme-insurance/,/en/services/business-msme/business-msme-insurance/,/en/services/business-msme/business-msme-insurance/,"flat vs nested duplicate service page; both self-canonicalize today (duplicate content competing in index); 301 duplicate -> canonical (A->C direct, no chains)",2,40,2420,2832
/en/services/claim-support/,/en/services/claims-support/claim-support/,/en/services/claims-support/claim-support/,"flat vs nested duplicate claim-support page; both self-canonicalize today (duplicate content competing in index); 301 duplicate -> canonical (A->C direct, no chains)",2,40,2398,2908
/en/services/construction-contractor-car-wc-insurance/,/en/services/construction/contractor-car-wc-insurance/,/en/services/construction/contractor-car-wc-insurance/,"flat vs nested duplicate (CAR+WC); both self-canonicalize today (duplicate content competing in index); 301 duplicate -> canonical (A->C direct, no chains)",2,22,2384,2372
/en/services/marine-cargo-goods-in-transit-insurance/,/en/services/marine/marine-cargo-goods-in-transit-insurance/,/en/services/marine/marine-cargo-goods-in-transit-insurance/,"flat vs nested duplicate (marine cargo); both self-canonicalize today (duplicate content competing in index); 301 duplicate -> canonical (A->C direct, no chains)",2,31,2372,3281
/en/services/marine/marine-cargo-goods-in-transit/,/en/services/marine/marine-cargo-goods-in-transit-insurance/,/en/services/marine/marine-cargo-goods-in-transit-insurance/,"short-slug variant; its canonical already points to the -insurance URL (but without trailing slash — fix); both self-canonicalize today (duplicate content competing in index); 301 duplicate -> canonical (A->C direct, no chains)",0,31,5,3281
/en/services/transport-fleet-lorry-insurance/,/en/services/transport-fleet/lorry-insurance/,/en/services/transport-fleet/lorry-insurance/,"flat vs nested duplicate (lorry); both self-canonicalize today (duplicate content competing in index); 301 duplicate -> canonical (A->C direct, no chains)",2,41,2374,3742
/en/services/crane-heavy-equipment-cpm-insurance/,/en/services/heavy-equipment/crane-cpm-insurance/,/en/services/heavy-equipment/crane-cpm-insurance/,"flat vs nested duplicate (crane/CPM); both self-canonicalize today (duplicate content competing in index); 301 duplicate -> canonical (A->C direct, no chains)",2,16,2480,2432
/en/services/fire-burglary-commercial-property-insurance/,/en/services/industrial/fire-burglary-insurance/,/en/services/industrial/fire-burglary-insurance/,"flat vs nested duplicate (fire & burglary); both self-canonicalize today (duplicate content competing in index); 301 duplicate -> canonical (A->C direct, no chains)",2,41,2470,4427
/en/services/warehouse-godown-factory-insurance/,/en/services/industrial/warehouse-insurance/,/en/services/industrial/warehouse-insurance/,"flat vs nested duplicate (warehouse); factory content also on /en/services/industrial/factory-insurance/; both self-canonicalize today (duplicate content competing in index); 301 duplicate -> canonical (A->C direct, no chains)",2,52,2468,3469
/en/services/personal-car-bike-health-support/,/en/services/personal/,/en/services/personal/,"flat combo page duplicating the personal category hub; both self-canonicalize today (duplicate content competing in index); 301 duplicate -> canonical (A->C direct, no chains)",2,8,2408,2664
/en/services/public-liability-third-party-insurance/,/en/services/liability/public-liability/,/en/services/liability/public-liability/,"flat vs nested duplicate (public liability); both self-canonicalize today (duplicate content competing in index); 301 duplicate -> canonical (A->C direct, no chains)",3,57,2458,2776
/en/services/group-health-employee-benefits-insurance/,/en/services/personal/health-insurance-support/,/en/services/personal/health-insurance-support/,"closest nested equivalent (group health has no nested twin; review before merging); both self-canonicalize today (duplicate content competing in index); 301 duplicate -> canonical (A->C direct, no chains)",2,14,2464,3331
/en/services/construction/contractor-all-risk/,/en/services/construction/contractor-car-wc-insurance/,/en/services/construction/contractor-car-wc-insurance/,"CAR content overlaps CAR+WC page — verify overlap % before merging; both self-canonicalize today (duplicate content competing in index); 301 duplicate -> canonical (A->C direct, no chains)",17,22,3232,2372
